Date,Production
2012-01,96.7595
2012-02,97.0662
2012-03,96.5609
2012-04,97.251
2012-05,97.4595
2012-06,97.4768
2012-07,97.6714
2012-08,97.2734
2012-09,97.2217
2012-10,97.5311
2012-11,97.9084
2012-12,98.1884
2013-01,98.1736
2013-02,98.6434
2013-03,99.047
2013-04,98.9445
2013-05,99.0383
2013-06,99.2221
2013-07,98.8987
2013-08,99.4897
2013-09,100.021
2013-10,99.9037
2013-11,100.1582
2013-12,100.374
2014-01,99.9899
2014-02,100.7471
2014-03,101.7435
2014-04,101.8273
2014-05,102.2392
2014-06,102.5774
2014-07,102.7954
2014-08,102.6322
2014-09,102.9417
2014-10,102.9611
2014-11,103.5978
2014-12,103.6151
2015-01,102.7923
2015-02,102.1366
2015-03,101.7869
2015-04,101.2255
2015-05,100.7675
2015-06,100.4588
2015-07,101.0893
2015-08,100.9165
2015-09,100.633
2015-10,100.1563
2015-11,99.4366
2015-12,98.9471
2016-01,99.4391
2016-02,98.9232
2016-03,98.1635
2016-04,98.4775
2016-05,98.2549
2016-06,98.7315
2016-07,98.8452
2016-08,98.7427
2016-09,98.6552
2016-10,98.7237
2016-11,98.3443
2016-12,99.0406
2017-01,98.8158
2017-02,98.4356
2017-03,99.0492
2017-04,100.0416
2017-05,100.128
2017-06,100.337
2017-07,100.0865
2017-08,99.6323
2017-09,99.7482
2017-10,100.9893
2017-11,101.2493
2017-12,101.4871
2018-01,101.4852
2018-02,101.7319
2018-03,102.1943
2018-04,103.3551
2018-05,102.381
2018-06,103.2256
2018-07,103.3561
2018-08,104.0585
2018-09,104.1038
2018-10,103.9297
2018-11,104.0126
2018-12,104.0451
2019-01,103.3598
2019-02,102.8251
2019-03,102.8361
2019-04,102.2748
2019-05,102.4176
2019-06,102.5425
2019-07,102.0057
2019-08,102.7814
2019-09,102.4601
2019-10,101.5878
2019-11,102.1494
2019-12,101.9421
2020-01,101.3372
2020-02,101.6718
2020-03,97.606
2020-04,84.6812
2020-05,86.0108
2020-06,91.6745
2020-07,95.0037
2020-08,95.9294
2020-09,95.8914
2020-10,96.5256
2020-11,96.9529
2020-12,98.2039
2021-01,98.8135
2021-02,95.5072
2021-03,98.1929
2021-04,98.3317
2021-05,99.1867
2021-06,99.6483
2021-07,100.0668
2021-08,100.0412
2021-09,98.9955
2021-10,100.3542
2021-11,101.2684
2021-12,101.1948
2022-01,101.2146
2022-02,101.8458
2022-03,102.6732
2022-04,102.9024
2022-05,102.9659
2022-06,102.8224
2022-07,103.0505
2022-08,103.1703
2022-09,103.5326
2022-10,103.4442
2022-11,103.1058
2022-12,101.8266
